col_no,pos_fr_rd,treatment,time_point,date,action,selection_to_retest mites,varroa_retest_notes,reorg_or_removed_box,numerical_trt,gross_wt_kgs,gross_wt_lbs,bip_style_fob,fob_covered_at_all,top_of_box_bip_style_fob,hobo_no,hobo_sensor_propolis_30_Sep,rh_sensor_propolis,logger_connection_issue,end_of_file_issue,any_hobo_issue,water_amt_0-3,oct1_feeder_type,cups_fed,aec_towel_perc_remaining,time,q_status,q_event,brd_pattern,remove,notes,col_hist,location_on_9-19,date_brd_inspection_wax_virus,date_brd_exam,viral_sample_tf,wax_sample_tf,alc_sample_tf,alc_jar_no,mites_recov_3_washes,extra_mites_by_2-clear_rinses,mites_recov_total,gm_wt_100_bees,gm_wt_total_bee_sample,est_bee_num_by_wt,perc_phoretic_mites_by_weight,date_brd_pattern_assessed,disorders,dr_brood_exam_tf,dr_infested_num,dr_exhumed_num,wk_brood_exam_tf,infested_in_first_200_cells_num,extra_wk_infested_num,extra_wk_exhumed_num,dwv_num_sides_obs,dwv_tf,cdb_num_sides_obs,prev_bees_tot_sides,prev_cap_brd_tot_sides,prev_dr_capbrd_tot_sides,prev_honey_tot_sides,prev_pollen_tot_sides,prev_wk_capbrd_tot_sides,cap_brd_tot_sides_rm,dr_capbrd_tot_sides_rm,honey_tot_sides_removed,pollen_tot_sides_removed,bees_tot_sides,cap_brd_tot_sides,dr_capbrd_tot_sides,honey_tot_sides,pollen_tot_sides,wk_capbrd_tot_sides,est_sides_brood_incl_open,est_sides_used_space,est_sides_free_space,9.23_honey_addition_sides,9.23_pollen_addition_sides,bees_num,dr_capbrd_cells_num,revised_honey_tot_sides,revised_pollen_tot_sides,wrk_capbrd_cells_num,phoretic_mites_num_estimate,dr_cells_infested_estimate,wk_cells_infested_estimate,mites_total_estimate,sides_honey_short_of_9 (2.2 lbs/side),target_weight_lbs,lbs_to_feed,gallons_to_feed_total_wrong_estimate,gals_fed_round 1,gals to feed round 2,lbs_fed,sides_added,new_sides_total,sides_honey_short_of_12
D26,36,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,11:20,QS-B,,2.5,,,Richland pkg,Richland,,,T,T,T,12,38,0,38,19.4,60.0745,309.7,12.3,,,,17,50,T,20,,,7,0,5,,,,,,,,,,,8.55,6.625,0.025,5.3,0.25,6.6,,,,,,10388.25,53.90,5.30,0.25,22070.40,1274.79,18.33,2207.04,3500.15,,,,,,,,,,
L76,37,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,11:38,QR,,3,,,Richland pkg,Richland,,,T,T,T,13,22,0,22,20.1167,75.5282,375.5,5.9,,,,17,50,T,3,2,36,4,1,3,,,,,,,,,,,11.75,7.05,0.15,6.05,1.85,6.9,,,,,,14276.25,323.40,6.05,1.85,23073.60,836.54,109.96,346.10,1292.60,,,,,,,,,,
62,38,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,11:50,QS-B,,2.0,,Has EFB but possibly we may use the colony,Richland pkg,Richland,,,T,T,T,38,5,0,5,17.3032,47.5336,274.7,1.8,,EFB,,NA,NA,T,27.0,,,1,0,3,,,,,,,,,,,8.6,3,0,8.05,0.5,3,,,,,,10449.00,0.00,8.05,0.50,10032.00,190.18,,1354.32,1544.50,,,,,,,,,,
N22,39,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,15:35,QR,,3,,,Richland pkg,Richland,,,T,T,T,30,47,0,47,18.7333,65.0604,347.3,13.5,23-Sep,,,23,50,T,28,,,1,0,3,,,,,,,,,,,4.875,3.85,0.125,9.65,0.25,3.725,,,,,,5923.13,269.50,9.65,0.25,12456.40,801.58,123.97,1743.90,2669.44,,,,,,,,,,
L79,40,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,15:22,QR,,3,,,Richland pkg,Richland,,,T,T,T,29,20,0,20,20.1966,61.5277,304.6,6.6,23-Sep,,,NA,NA,T,15,,,6,1,0,,,,,,,,,,,8.25,7.175,0.05,5.3,0.925,7.125,,,,,,10023.75,107.80,5.30,0.93,23826.00,658.06,,1786.95,2445.01,,,,,,,,,,
4,41,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,15:10,QR,,2.5,,,Richland pkg,Richland,,,T,T,T,28,20,0,20,19.2997,65.0283,336.9,5.9,,,,18,30,T,29,,,6,1,4,,,,,,,,,,,7.5,5.075,0.125,9.425,0.7,4.95,,,,,,9112.50,269.50,9.43,0.70,16552.80,540.90,161.70,2400.16,3102.75,,,,,,,,,,
S1,42,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,,QS,,3.5,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT S1,21,0,21,19.0747,56.5,296.1,7.1,23-Sep,,,NA,NA,T,17,,,1,1,0,,,,,,,,,,,6.9,4.85,0,9,NA,4.85,,,,-0.8,,8383.50,0.00,8.20,NA,16218.40,594.56,,1378.56,1973.12,,,,,,,,,,
17,43,Apivar,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,,QR,,2,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT 17,19,0,19,17.9945,50.6229,281.3,6.8,23-Sep,,,NA,NA,T,20,,,0,0,0,,,,,,,,,,,6.3,4.275,0,4.45,NA,4.275,,,,2,,7654.50,0.00,6.45,NA,14295.60,516.97,,1429.56,1946.53,,,,,,,,,,
C8,44,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,,QR,,2.5,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT C8,29,0,29,19.8407,59.6416,300.6,9.6,23-Sep,,,NA,NA,T,50,,,1,1,0,,,,,,,,,,,7.6,3.075,0,14.05,NA,3.075,,,,-1,,9234.00,0.00,13.05,NA,10282.80,890.83,,2570.70,3461.53,,,,,,,,,,
C2,45,AEC,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,,QS-MP,,2.5,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT C2,13,0,13,18.7987,60.0953,319.7,4.1,23-Sep,,,NA,NA,T,13,,,0,0,0,,,,,,,,,,,16.1,5.325,0,6.25,NA,5.325,,,,,,19561.50,0.00,6.25,NA,17806.80,795.49,,1157.44,1952.93,,,,,,,,,,
N51,46,AEC,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,,QR,,3.5,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT N51,14,0,14,15.9919,40.9368,256.0,5.5,23-Sep,,,NA,NA,T,32,,,1,1,0,,,,,,,,,,,9.95,6.1,0.225,13.65,NA,5.875,,,,-0.9,,12089.25,485.10,12.75,NA,19646.00,661.17,,3143.36,3804.53,,,,,,,,,,
C15,47,Apivar,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,,QS,,2.5,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT C15,51,2,53,18.6469,59.0389,316.6,16.1,23-Sep,,,NA,NA,T,12,,,0,0,0,,,,,,,,,,,4.375,3.625,0,6.35,NA,3.625,,,,,,5315.63,0.00,6.35,NA,12122.00,856.23,,727.32,1583.55,,,,,,,,,,
D10,1,Apiguard_Api,2,23-Sep,Q check Install HOBO and treat,,,,,,,,,,1,,,,,,,,,,13:35,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
D20,2,Apivar,2,23-Sep,Q check Install HOBO and treat,,,,,,,,,,2,,,,,,,,,,13:40,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
D15,3,AEC,2,23-Sep,Q check Install HOBO,,,,,,,,,,3,,,,,,,,,,13:43,QS-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
D16,4,AEC,2,23-Sep,Q check ,,,,,,,,,,,,,,,,,,,,13:45,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
D5,5,Apivar,2,23-Sep,Q check Install HOBO and treat,,,,,,,,,,4,,,,,,,,,,13:48,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
D6,6,Apiguard_Api,2,23-Sep,Q check Install HOBO and treat,,,,,,,,,,5,,,,,,,,,,13:55,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
9,7,Apivar,2,23-Sep,Q check treat,,,,,,,,,,,,,,,,,,,,14:00,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
D7,8,Apivar,2,23-Sep,Q check treat,,,,,,,,,,,,,,,,,,,,14:03,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
D8,9,Apivar,2,23-Sep,Q check treat,,,,,,,,,,,,,,,,,,,,14:04,QS-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
RC1,10,Apivar,2,23-Sep,Q check treat,,,,,,,,,,,,,,,,,,,,14:09,QL,QL since 9/19. On 9/23 RQ-B. New Q released 9/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
D11,11,Apivar,2,23-Sep,Q check Install HOBO and treat,,,,,,,,,,6,,,,,,,,,,14:12,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
